TIME,VHM0,VTZA,VMDR,VTPK
2022-01-01 11:00:00.000000000,1.4,4.6,234.0,5.8824
2022-01-01 11:10:00.000000000,1.43,4.8,234.0,5.8824
2022-01-01 11:20:00.000000000,1.47,4.8,232.0,5.5556
2022-01-01 11:30:00.000000000,1.51,5.0,231.0,5.5556
2022-01-01 11:39:59.999999744,1.56,5.0,231.0,5.8824
2022-01-01 11:50:00.000000000,1.61,4.8,229.0,5.8824
2022-01-01 12:00:00.000000000,1.64,4.8,229.0,6.25
2022-01-01 12:10:00.000000000,1.57,4.8,229.0,6.25
2022-01-01 12:20:00.000000256,1.51,4.7,227.0,6.25
2022-01-01 12:30:00.000000000,1.64,4.6,225.0,5.5556
2022-01-01 12:40:00.000000000,1.68,4.6,224.0,5.8824
2022-01-01 12:50:00.000000000,1.62,4.5,222.0,5.8824
2022-01-01 13:00:00.000000000,1.71,4.5,220.0,5.2632
2022-01-01 13:09:59.999999744,1.72,4.6,218.0,5.8824
2022-01-01 13:20:00.000000000,1.68,4.5,218.0,5.5556
2022-01-01 13:30:00.000000000,1.69,4.4,216.0,5.5556
2022-01-01 13:40:00.000000000,1.74,4.4,213.0,5.2632
2022-01-01 13:50:00.000000256,1.75,4.4,212.0,5.2632
2022-01-01 14:00:00.000000000,1.76,4.5,213.0,5.2632
2022-01-01 14:10:00.000000000,1.84,4.6,213.0,5.5556
2022-01-01 14:20:00.000000000,1.79,4.5,214.0,5.5556
2022-01-01 14:30:00.000000000,1.75,4.5,217.0,5.5556
2022-01-01 14:39:59.999999744,1.74,4.4,217.0,5.5556
2022-01-01 14:50:00.000000000,1.72,4.4,215.0,5.2632
2022-01-01 15:00:00.000000000,1.7,4.4,216.0,5.2632
2022-01-01 15:10:00.000000000,1.75,4.4,219.0,5.5556
2022-01-01 15:20:00.000000256,1.78,4.4,216.0,5.2632
2022-01-01 15:30:00.000000000,1.64,4.4,215.0,5.0
2022-01-01 15:40:00.000000000,1.67,4.5,214.0,5.8824
2022-01-01 15:50:00.000000000,1.74,4.5,214.0,5.5556
2022-01-01 16:00:00.000000000,1.64,4.3,215.0,5.5556
2022-01-01 16:09:59.999999744,1.58,4.2,215.0,5.0
2022-01-01 16:20:00.000000000,1.68,4.4,216.0,5.5556
2022-01-01 16:30:00.000000000,1.7,4.4,216.0,5.5556
2022-01-01 16:40:00.000000000,1.63,4.3,217.0,5.2632
2022-01-01 16:50:00.000000256,1.62,4.3,216.0,5.8824
2022-01-01 17:00:00.000000000,1.55,4.4,215.0,5.8824
2022-01-01 17:10:00.000000000,1.52,4.5,216.0,5.8824
2022-01-01 17:20:00.000000000,1.56,4.7,218.0,5.8824
2022-01-01 17:30:00.000000000,1.53,4.6,219.0,5.5556
2022-01-01 17:39:59.999999744,1.48,4.4,219.0,6.25
2022-01-01 17:50:00.000000000,1.53,4.4,218.0,5.8824
2022-01-01 18:00:00.000000000,1.6,4.5,220.0,5.8824
2022-01-01 18:10:00.000000000,1.58,4.5,223.0,5.8824
2022-01-01 18:20:00.000000256,1.51,4.5,224.0,5.8824
2022-01-01 18:30:00.000000000,1.47,4.4,223.0,6.25
2022-01-01 18:40:00.000000000,1.49,4.6,221.0,6.25
2022-01-01 18:50:00.000000000,1.46,4.6,219.0,6.25
2022-01-01 19:00:00.000000000,1.43,4.5,218.0,5.8824
2022-01-01 19:09:59.999999744,1.38,4.4,222.0,6.25
2022-01-01 19:20:00.000000000,1.33,4.4,224.0,6.25
2022-01-01 19:30:00.000000000,1.44,4.9,225.0,6.25
2022-01-01 19:40:00.000000000,1.44,4.8,224.0,5.8824
2022-01-01 19:50:00.000000256,1.4,4.7,222.0,5.8824
2022-01-01 20:00:00.000000000,1.44,4.9,222.0,6.25
2022-01-01 20:10:00.000000000,1.43,4.8,221.0,6.6667
2022-01-01 20:20:00.000000000,1.33,4.7,224.0,6.25
2022-01-01 20:30:00.000000000,1.28,4.9,227.0,6.25
2022-01-01 20:39:59.999999744,1.36,4.9,226.0,6.25
2022-01-01 20:50:00.000000000,1.4,4.9,228.0,6.6667
2022-01-01 21:00:00.000000000,1.36,4.9,225.0,6.6667
2022-01-01 21:10:00.000000000,1.36,4.8,223.0,6.25
2022-01-01 21:20:00.000000256,1.37,5.0,226.0,6.25
2022-01-01 21:30:00.000000000,1.19,4.5,231.0,6.25
2022-01-01 21:40:00.000000000,1.34,4.9,230.0,6.6667
2022-01-01 21:50:00.000000000,1.42,5.1,227.0,6.6667
2022-01-01 22:00:00.000000000,1.38,5.0,226.0,6.25
2022-01-01 22:09:59.999999744,1.26,4.8,230.0,6.25
2022-01-01 22:20:00.000000000,1.22,4.6,230.0,6.6667
2022-01-01 22:30:00.000000000,1.26,4.8,227.0,6.6667
2022-01-01 22:40:00.000000000,1.29,5.2,228.0,6.6667
2022-01-01 22:50:00.000000256,1.26,5.0,229.0,5.8824
2022-01-01 23:00:00.000000000,1.27,4.8,230.0,6.6667
2022-01-01 23:10:00.000000000,1.32,4.8,231.0,6.6667
2022-01-01 23:20:00.000000000,1.29,4.9,233.0,6.6667
2022-01-01 23:30:00.000000000,1.34,4.9,230.0,6.6667
2022-01-01 23:39:59.999999744,1.37,4.8,226.0,6.25
2022-01-01 23:50:00.000000000,1.33,4.8,227.0,5.2632
2022-01-02 00:00:00.000000000,1.34,4.7,227.0,6.25
2022-01-02 00:10:00.000000000,1.4,4.5,225.0,6.25
2022-01-02 00:20:00.000000256,1.43,4.6,226.0,5.5556
2022-01-02 00:30:00.000000000,1.42,4.7,226.0,5.5556
2022-01-02 00:40:00.000000000,1.43,4.7,225.0,5.8824
2022-01-02 00:50:00.000000000,1.56,4.7,226.0,5.8824
2022-01-02 01:00:00.000000000,1.6,4.7,227.0,5.8824
2022-01-02 01:09:59.999999744,1.5,4.5,224.0,5.8824
2022-01-02 01:20:00.000000000,1.5,4.5,223.0,5.8824
2022-01-02 01:30:00.000000000,1.48,4.4,222.0,5.8824
2022-01-02 01:40:00.000000000,1.48,4.3,219.0,5.5556
2022-01-02 01:50:00.000000256,1.44,4.2,220.0,5.5556
2022-01-02 02:00:00.000000000,1.47,4.3,221.0,5.5556
2022-01-02 02:10:00.000000000,1.56,4.5,220.0,5.5556
2022-01-02 02:20:00.000000000,1.49,4.3,218.0,5.2632
2022-01-02 02:30:00.000000000,1.41,4.1,218.0,5.2632
2022-01-02 02:39:59.999999744,1.44,4.2,218.0,5.2632
2022-01-02 02:50:00.000000000,1.44,4.3,217.0,5.2632
2022-01-02 03:00:00.000000000,1.39,4.3,218.0,5.2632
2022-01-02 03:10:00.000000000,1.35,4.2,217.0,5.2632
2022-01-02 03:20:00.000000256,1.32,4.2,216.0,5.2632
2022-01-02 03:30:00.000000000,1.3,4.1,214.0,5.2632
2022-01-02 03:40:00.000000000,1.33,4.2,217.0,5.2632
2022-01-02 03:50:00.000000000,1.34,4.3,222.0,5.0
2022-01-02 04:00:00.000000000,1.28,4.2,223.0,5.2632
2022-01-02 04:09:59.999999744,1.28,4.2,223.0,5.2632
2022-01-02 04:20:00.000000000,1.27,4.1,221.0,5.2632
2022-01-02 04:30:00.000000000,1.25,4.1,220.0,5.2632
2022-01-02 04:40:00.000000000,1.24,4.1,222.0,5.5556
2022-01-02 04:50:00.000000256,1.29,4.2,225.0,5.5556
2022-01-02 05:00:00.000000000,1.31,4.2,225.0,5.5556
2022-01-02 05:10:00.000000000,1.27,4.2,223.0,5.5556
2022-01-02 05:20:00.000000000,1.16,4.0,223.0,5.8824
2022-01-02 05:30:00.000000000,1.13,4.0,226.0,5.0
2022-01-02 05:39:59.999999744,1.12,4.1,227.0,5.0
2022-01-02 05:50:00.000000000,1.17,4.2,227.0,5.5556
2022-01-02 06:00:00.000000000,1.23,4.2,224.0,5.5556
2022-01-02 06:10:00.000000000,1.21,4.1,226.0,5.5556
2022-01-02 06:20:00.000000256,1.13,4.0,230.0,5.5556
2022-01-02 06:30:00.000000000,1.12,4.1,232.0,5.5556
2022-01-02 06:40:00.000000000,1.14,4.1,232.0,5.5556
2022-01-02 06:50:00.000000000,1.19,4.1,229.0,5.5556
2022-01-02 07:00:00.000000000,1.16,4.2,228.0,5.8824
2022-01-02 07:09:59.999999744,1.09,4.3,229.0,5.8824
2022-01-02 07:20:00.000000000,1.13,4.3,230.0,5.5556
2022-01-02 07:30:00.000000000,1.1,4.2,233.0,5.5556
2022-01-02 07:40:00.000000000,1.03,4.2,233.0,5.8824
2022-01-02 07:50:00.000000256,1.07,4.2,232.0,5.5556
2022-01-02 08:00:00.000000000,1.16,4.3,229.0,5.5556
2022-01-02 08:10:00.000000000,1.2,4.5,228.0,5.8824
2022-01-02 08:20:00.000000000,1.22,4.5,228.0,5.8824
2022-01-02 08:30:00.000000000,1.25,4.5,227.0,5.2632
2022-01-02 08:39:59.999999744,1.36,4.5,226.0,5.5556
2022-01-02 08:50:00.000000000,1.38,4.5,226.0,5.5556
2022-01-02 09:00:00.000000000,1.4,4.5,228.0,5.8824
2022-01-02 09:10:00.000000000,1.49,4.7,228.0,5.8824
2022-01-02 09:20:00.000000256,1.46,4.7,226.0,5.8824
2022-01-02 09:30:00.000000000,1.46,4.6,226.0,5.8824
2022-01-02 09:40:00.000000000,1.47,4.7,226.0,5.5556
2022-01-02 09:50:00.000000000,1.52,4.8,225.0,5.5556
2022-01-02 10:00:00.000000000,1.57,4.7,223.0,5.8824
2022-01-02 10:09:59.999999744,1.6,4.7,222.0,5.8824
2022-01-02 10:20:00.000000000,1.7,5.1,223.0,5.8824
2022-01-02 10:30:00.000000000,1.76,5.0,222.0,6.25
2022-01-02 10:40:00.000000000,1.79,4.9,222.0,6.25
2022-01-02 10:50:00.000000256,1.95,5.2,225.0,6.25
2022-01-02 11:00:00.000000000,2.12,5.3,224.0,6.6667
2022-01-02 11:10:00.000000000,2.07,5.2,223.0,6.6667
2022-01-02 11:20:00.000000000,1.99,5.2,224.0,6.25
2022-01-02 11:30:00.000000000,2.03,5.2,223.0,6.25
2022-01-02 11:39:59.999999744,2.26,5.4,223.0,6.6667
2022-01-02 11:50:00.000000000,2.41,5.4,225.0,6.6667
2022-01-02 12:00:00.000000000,2.36,5.2,229.0,6.6667
2022-01-02 12:10:00.000000000,2.26,5.2,230.0,6.6667
2022-01-02 12:20:00.000000256,2.27,5.3,228.0,7.1429
2022-01-02 12:30:00.000000000,2.38,5.3,229.0,6.6667
2022-01-02 12:40:00.000000000,2.34,5.3,230.0,6.6667
2022-01-02 12:50:00.000000000,2.37,5.6,229.0,6.6667
2022-01-02 13:00:00.000000000,2.42,5.6,229.0,6.6667
2022-01-02 13:09:59.999999744,2.39,5.4,228.0,6.6667
2022-01-02 13:20:00.000000000,2.37,5.3,229.0,7.1429
2022-01-02 13:30:00.000000000,2.44,5.4,228.0,6.25
2022-01-02 13:40:00.000000000,2.44,5.5,226.0,6.25
2022-01-02 13:50:00.000000256,2.31,5.3,227.0,6.6667
2022-01-02 14:00:00.000000000,2.27,5.0,228.0,6.6667
2022-01-02 14:10:00.000000000,2.21,5.0,227.0,6.6667
2022-01-02 14:20:00.000000000,2.07,5.0,227.0,6.6667
2022-01-02 14:30:00.000000000,2.02,5.0,224.0,6.6667
2022-01-02 14:39:59.999999744,2.01,4.7,223.0,6.25
2022-01-02 14:50:00.000000000,2.01,4.8,223.0,6.6667
2022-01-02 15:00:00.000000000,2.0,4.8,221.0,6.6667
2022-01-02 15:10:00.000000000,2.03,4.8,221.0,6.25
2022-01-02 15:20:00.000000256,1.93,4.8,221.0,6.25
2022-01-02 15:30:00.000000000,1.78,4.8,222.0,6.25
2022-01-02 15:40:00.000000000,1.75,4.8,224.0,6.6667
2022-01-02 15:50:00.000000000,1.71,4.7,224.0,5.8824
2022-01-02 16:00:00.000000000,1.62,4.6,228.0,5.8824
2022-01-02 16:09:59.999999744,1.57,4.6,231.0,6.6667
2022-01-02 16:20:00.000000000,1.63,4.5,227.0,6.25
2022-01-02 16:30:00.000000000,1.63,4.4,226.0,5.8824
2022-01-02 16:40:00.000000000,1.72,4.5,227.0,6.25
2022-01-02 16:50:00.000000256,1.68,4.5,227.0,6.25
2022-01-02 17:00:00.000000000,1.58,4.6,224.0,6.6667
2022-01-02 17:10:00.000000000,1.66,4.5,225.0,6.6667
2022-01-02 17:20:00.000000000,1.68,4.3,227.0,6.6667
2022-01-02 17:30:00.000000000,1.69,4.5,228.0,5.5556
2022-01-02 17:39:59.999999744,1.73,4.7,227.0,6.6667
2022-01-02 17:50:00.000000000,1.74,4.9,225.0,6.6667
2022-01-02 18:00:00.000000000,1.69,4.7,226.0,6.6667
2022-01-02 18:10:00.000000000,1.74,4.6,226.0,6.6667
2022-01-02 18:20:00.000000256,1.72,4.7,226.0,6.6667
2022-01-02 18:30:00.000000000,1.58,4.7,229.0,5.5556
2022-01-02 18:40:00.000000000,1.58,4.6,231.0,5.5556
2022-01-02 18:50:00.000000000,1.56,4.5,229.0,6.6667
2022-01-02 19:00:00.000000000,1.5,4.4,230.0,4.3478
2022-01-02 19:09:59.999999744,1.47,4.6,229.0,7.1429
2022-01-02 19:20:00.000000000,1.5,4.7,229.0,7.1429
2022-01-02 19:30:00.000000000,1.44,4.6,233.0,7.1429
2022-01-02 19:40:00.000000000,1.43,4.6,235.0,5.5556
2022-01-02 19:50:00.000000256,1.45,4.7,235.0,6.6667
2022-01-02 20:00:00.000000000,1.43,4.6,236.0,6.6667
2022-01-02 20:10:00.000000000,1.36,4.6,239.0,6.6667
2022-01-02 20:20:00.000000000,1.35,4.6,239.0,6.6667
2022-01-02 20:30:00.000000000,1.34,4.7,240.0,6.6667
2022-01-02 20:39:59.999999744,1.35,4.8,242.0,6.6667
2022-01-02 20:50:00.000000000,1.36,4.8,244.0,6.6667
2022-01-02 21:00:00.000000000,1.39,4.8,244.0,5.5556
2022-01-02 21:10:00.000000000,1.45,4.9,243.0,5.8824
2022-01-02 21:20:00.000000256,1.43,4.9,247.0,6.6667
2022-01-02 21:30:00.000000000,1.41,5.0,249.0,6.6667
2022-01-02 21:40:00.000000000,1.38,5.0,248.0,5.8824
2022-01-02 21:50:00.000000000,1.4,4.9,251.0,5.8824
2022-01-02 22:00:00.000000000,1.43,4.8,251.0,5.8824
2022-01-02 22:09:59.999999744,1.4,4.7,250.0,5.8824
2022-01-02 22:20:00.000000000,1.35,4.6,252.0,5.8824
2022-01-02 22:30:00.000000000,1.46,4.9,252.0,5.8824
2022-01-02 22:40:00.000000000,1.6,5.0,251.0,5.2632
2022-01-02 22:50:00.000000256,1.58,4.9,250.0,5.2632
2022-01-02 23:00:00.000000000,1.55,4.9,248.0,6.25
2022-01-02 23:10:00.000000000,1.51,4.9,248.0,6.25
2022-01-02 23:20:00.000000000,1.53,4.9,247.0,5.5556
2022-01-02 23:30:00.000000000,1.62,4.8,246.0,5.8824
2022-01-02 23:39:59.999999744,1.6,4.9,246.0,5.8824
2022-01-02 23:50:00.000000000,1.77,5.0,244.0,6.25
2022-01-03 00:00:00.000000000,1.95,5.0,244.0,5.8824
2022-01-03 00:10:00.000000000,1.94,5.0,244.0,5.8824
2022-01-03 00:20:00.000000256,2.02,5.1,241.0,6.25
2022-01-03 00:30:00.000000000,2.16,5.3,239.0,6.25
2022-01-03 00:40:00.000000000,2.24,5.3,239.0,6.25
2022-01-03 00:50:00.000000000,2.4,5.4,238.0,6.25
2022-01-03 01:00:00.000000000,2.45,5.8,235.0,6.25
2022-01-03 01:09:59.999999744,2.49,5.7,232.0,7.1429
2022-01-03 01:20:00.000000000,2.51,5.6,233.0,6.6667
2022-01-03 01:30:00.000000000,2.54,5.7,233.0,7.1429
2022-01-03 01:40:00.000000000,2.71,5.6,231.0,7.1429
2022-01-03 01:50:00.000000256,2.71,5.3,231.0,7.1429
2022-01-03 02:00:00.000000000,2.63,5.5,231.0,7.1429
2022-01-03 02:10:00.000000000,2.68,5.6,230.0,6.6667
2022-01-03 02:20:00.000000000,2.62,5.2,230.0,6.6667
2022-01-03 02:30:00.000000000,2.63,5.1,231.0,6.6667
2022-01-03 02:39:59.999999744,2.64,5.3,230.0,6.6667
2022-01-03 02:50:00.000000000,2.54,5.3,231.0,6.6667
2022-01-03 03:00:00.000000000,2.6,5.2,230.0,6.6667
2022-01-03 03:10:00.000000000,2.76,5.4,227.0,7.1429
2022-01-03 03:20:00.000000256,2.75,5.3,226.0,6.6667
2022-01-03 03:30:00.000000000,2.53,5.0,226.0,6.6667
2022-01-03 03:40:00.000000000,2.6,5.3,227.0,7.1429
2022-01-03 03:50:00.000000000,2.84,5.5,228.0,6.6667
2022-01-03 04:00:00.000000000,2.82,5.3,224.0,6.6667
2022-01-03 04:09:59.999999744,2.63,5.3,226.0,6.6667
2022-01-03 04:20:00.000000000,2.49,5.2,230.0,6.6667
2022-01-03 04:30:00.000000000,2.31,5.1,230.0,6.6667
2022-01-03 04:40:00.000000000,2.24,5.2,232.0,7.1429
2022-01-03 04:50:00.000000256,2.35,5.1,232.0,7.1429
2022-01-03 05:00:00.000000000,2.44,5.1,231.0,7.1429
2022-01-03 05:10:00.000000000,2.33,5.1,234.0,7.1429
2022-01-03 05:20:00.000000000,2.45,5.5,234.0,6.6667
2022-01-03 05:30:00.000000000,2.58,5.5,234.0,7.1429
2022-01-03 05:39:59.999999744,2.48,5.1,237.0,7.6923
2022-01-03 05:50:00.000000000,2.35,5.2,239.0,6.6667
2022-01-03 06:00:00.000000000,2.3,5.3,237.0,6.6667
2022-01-03 06:10:00.000000000,2.49,5.4,238.0,7.1429
2022-01-03 06:20:00.000000256,2.78,5.7,239.0,7.1429
2022-01-03 06:30:00.000000000,2.63,5.5,241.0,7.6923
2022-01-03 06:40:00.000000000,2.46,5.1,238.0,7.1429
2022-01-03 06:50:00.000000000,2.64,5.5,237.0,7.1429
2022-01-03 07:00:00.000000000,2.51,5.6,240.0,7.6923
2022-01-03 07:09:59.999999744,2.53,5.5,237.0,7.6923
2022-01-03 07:20:00.000000000,2.67,5.5,235.0,7.6923
2022-01-03 07:30:00.000000000,2.57,5.4,235.0,7.6923
2022-01-03 07:40:00.000000000,2.74,5.6,235.0,7.6923
2022-01-03 07:50:00.000000256,2.99,5.9,235.0,7.6923
2022-01-03 08:00:00.000000000,2.98,5.8,236.0,7.6923
2022-01-03 08:10:00.000000000,2.85,5.7,236.0,7.6923
2022-01-03 08:20:00.000000000,2.78,5.6,236.0,8.3333
2022-01-03 08:30:00.000000000,2.88,5.9,240.0,7.6923
2022-01-03 08:39:59.999999744,2.76,5.8,242.0,7.6923
2022-01-03 08:50:00.000000000,2.63,5.7,240.0,7.1429
2022-01-03 09:00:00.000000000,2.82,6.1,238.0,7.1429
2022-01-03 09:10:00.000000000,2.95,6.2,239.0,7.6923
2022-01-03 09:20:00.000000256,2.73,5.8,239.0,7.1429
2022-01-03 09:30:00.000000000,2.65,5.8,237.0,8.3333
2022-01-03 09:40:00.000000000,2.68,5.8,236.0,8.3333
2022-01-03 09:50:00.000000000,2.67,6.0,236.0,7.6923
2022-01-03 10:00:00.000000000,2.78,6.2,234.0,7.6923
2022-01-03 10:09:59.999999744,2.93,6.3,236.0,8.3333
2022-01-03 10:20:00.000000000,3.11,6.3,239.0,8.3333
2022-01-03 10:30:00.000000000,2.91,6.4,237.0,8.3333
2022-01-03 10:40:00.000000000,2.76,6.2,236.0,7.6923
2022-01-03 10:50:00.000000256,2.69,6.1,238.0,8.3333
2022-01-03 11:00:00.000000000,2.73,6.1,238.0,7.6923
2022-01-03 11:10:00.000000000,2.79,6.3,240.0,7.6923
2022-01-03 11:20:00.000000000,2.58,6.0,242.0,7.6923
2022-01-03 11:30:00.000000000,2.59,6.0,244.0,7.6923
2022-01-03 11:39:59.999999744,2.53,6.0,244.0,7.6923
2022-01-03 11:50:00.000000000,2.4,5.5,244.0,7.1429
2022-01-03 12:00:00.000000000,2.48,5.7,242.0,7.1429
2022-01-03 12:10:00.000000000,2.62,5.9,238.0,7.6923
2022-01-03 12:20:00.000000256,2.68,6.0,240.0,7.6923
2022-01-03 12:30:00.000000000,2.57,6.0,240.0,7.1429
2022-01-03 12:40:00.000000000,2.21,5.6,238.0,7.1429
2022-01-03 12:50:00.000000000,2.3,5.7,240.0,7.6923
2022-01-03 13:00:00.000000000,2.46,5.9,240.0,6.6667
2022-01-03 13:09:59.999999744,2.39,5.7,238.0,6.6667
2022-01-03 13:20:00.000000000,2.4,5.7,238.0,7.1429
2022-01-03 13:30:00.000000000,2.54,5.8,241.0,6.6667
2022-01-03 13:40:00.000000000,2.69,5.8,241.0,6.6667
2022-01-03 13:50:00.000000256,2.65,5.7,239.0,7.1429
2022-01-03 14:00:00.000000000,2.61,5.7,236.0,7.6923
2022-01-03 14:10:00.000000000,2.52,5.8,237.0,7.6923
2022-01-03 14:20:00.000000000,2.49,5.7,240.0,7.6923
2022-01-03 14:30:00.000000000,2.71,5.7,238.0,7.1429
2022-01-03 14:39:59.999999744,2.63,5.6,237.0,7.1429
2022-01-03 14:50:00.000000000,2.5,5.4,238.0,6.6667
2022-01-03 15:00:00.000000000,2.71,5.6,239.0,7.1429
2022-01-03 15:10:00.000000000,3.08,5.9,238.0,7.1429
2022-01-03 15:20:00.000000256,2.97,5.6,238.0,6.6667
2022-01-03 15:30:00.000000000,2.84,5.4,236.0,6.6667
2022-01-03 15:40:00.000000000,2.8,5.4,234.0,6.6667
2022-01-03 15:50:00.000000000,2.7,5.4,235.0,7.1429
2022-01-03 16:00:00.000000000,2.74,5.5,238.0,7.1429
2022-01-03 16:09:59.999999744,2.6,5.4,237.0,6.6667
2022-01-03 16:20:00.000000000,2.51,5.3,233.0,7.1429
2022-01-03 16:30:00.000000000,2.44,5.5,236.0,7.1429
2022-01-03 16:40:00.000000000,2.42,5.3,241.0,7.1429
2022-01-03 16:50:00.000000256,2.34,5.1,243.0,6.6667
2022-01-03 17:00:00.000000000,2.29,5.3,240.0,7.1429
2022-01-03 17:10:00.000000000,2.3,5.3,236.0,7.1429
2022-01-03 17:20:00.000000000,2.24,5.2,237.0,6.6667
2022-01-03 17:30:00.000000000,2.29,5.2,238.0,6.6667
2022-01-03 17:39:59.999999744,2.35,5.2,236.0,6.6667
2022-01-03 17:50:00.000000000,2.4,5.1,239.0,7.1429
2022-01-03 18:00:00.000000000,2.42,5.2,241.0,7.1429
2022-01-03 18:10:00.000000000,2.26,5.2,241.0,7.1429
2022-01-03 18:20:00.000000256,2.24,5.2,244.0,7.1429
2022-01-03 18:30:00.000000000,2.32,5.1,244.0,6.6667
2022-01-03 18:40:00.000000000,2.29,5.0,245.0,6.6667
2022-01-03 18:50:00.000000000,2.25,5.2,244.0,7.1429
2022-01-03 19:00:00.000000000,2.24,5.3,242.0,7.1429
2022-01-03 19:09:59.999999744,2.19,5.2,243.0,7.1429
2022-01-03 19:20:00.000000000,2.23,5.3,239.0,6.6667
2022-01-03 19:30:00.000000000,2.38,5.4,241.0,6.6667
2022-01-03 19:40:00.000000000,2.45,5.3,247.0,7.1429
2022-01-03 19:50:00.000000256,2.34,5.4,249.0,7.1429
2022-01-03 20:00:00.000000000,2.23,5.4,245.0,7.1429
2022-01-03 20:10:00.000000000,2.17,5.3,247.0,7.1429
2022-01-03 20:20:00.000000000,2.29,5.4,246.0,7.1429
2022-01-03 20:30:00.000000000,2.31,5.4,246.0,7.1429
